prompt,intent,classes
Can you replicate the 'Inventory' sheet and insert it before the 'Sales' sheet?,Copy sheet,entry and manipulation
Please create a copy of the 'Expense Tracker' sheet and append '_Copy' to its name.,Copy sheet,entry and manipulation
I want to clone the 'Sales Forecast' sheet and move it to a different workbook.,Copy sheet,entry and manipulation
Could you duplicate the 'Marketing Plan' sheet and place it after the 'Financials' sheet?,Copy sheet,entry and manipulation
I need to replicate the 'Analysis' sheet and save it in a different workbook.,Copy sheet,entry and manipulation
Can you create a duplicate of the 'Customer Data' sheet and name it 'Customer Data_Copy'?,Copy sheet,entry and manipulation
Please copy the 'Summary' sheet and insert it after the 'Details' sheet.,Copy sheet,entry and manipulation
I want to duplicate the 'Quarterly Sales' sheet and move it to a separate workbook.,Copy sheet,entry and manipulation
Could you clone the 'Sales Report' sheet and rename it 'Report_Copy'?,Copy sheet,entry and manipulation
"I need to make a backup, so please copy the 'Backup' sheet to a new workbook.",Copy sheet,entry and manipulation
Can you replicate the 'Dashboard' sheet and insert it after the 'Analysis' sheet?,Copy sheet,entry and manipulation
Please create a copy of the 'Sales Analysis' sheet and append '_Copy' to its name.,Copy sheet,entry and manipulation
I want to replicate the 'Financial Report' sheet and place it in a different workbook.,Copy sheet,entry and manipulation
Could you duplicate the 'Product Catalog' sheet and rename it 'Catalog_Copy'?,Copy sheet,entry and manipulation
I need to clone the 'Inventory Management' sheet and keep it in the same workbook.,Copy sheet,entry and manipulation
Can you copy the 'Budget Tracker' sheet and insert it before the 'Expense Report'?,Copy sheet,entry and manipulation
Please duplicate the 'Sales Data' sheet and move it to the end of the workbook.,Copy sheet,entry and manipulation
I want to create a copy of the 'Pivot Analysis' sheet and place it in a separate workbook.,Copy sheet,entry and manipulation
Could you replicate the 'Quarterly Review' sheet and append '_Copy' to its name?,Copy sheet,entry and manipulation
"I need to make a backup, so please copy the 'Backup' sheet to a new workbook.",Copy sheet,entry and manipulation
Can you replicate the 'Inventory' sheet and insert it before the 'Sales' sheet?,Copy sheet,entry and manipulation
Please create a copy of the 'Expense Tracker' sheet and append '_Copy' to its name.,Copy sheet,entry and manipulation
I want to clone the 'Sales Forecast' sheet and move it to a different workbook.,Copy sheet,entry and manipulation
Could you duplicate the 'Marketing Plan' sheet and place it after the 'Financials' sheet?,Copy sheet,entry and manipulation
I need to replicate the 'Analysis' sheet and save it in a different workbook.,Copy sheet,entry and manipulation
Can you create a duplicate of the 'Customer Data' sheet and name it 'Customer Data_Copy'?,Copy sheet,entry and manipulation
Please copy the 'Summary' sheet and insert it after the 'Details' sheet.,Copy sheet,entry and manipulation
I want to duplicate the 'Quarterly Sales' sheet and move it to a separate workbook.,Copy sheet,entry and manipulation
Could you clone the 'Sales Report' sheet and rename it 'Report_Copy'?,Copy sheet,entry and manipulation
"I need to make a backup, so please copy the 'Backup' sheet to a new workbook.",Copy sheet,entry and manipulation
Can you replicate the 'Dashboard' sheet and insert it after the 'Analysis' sheet?,Copy sheet,entry and manipulation
Please create a copy of the 'Sales Analysis' sheet and append '_Copy' to its name.,Copy sheet,entry and manipulation
I want to replicate the 'Financial Report' sheet and place it in a different workbook.,Copy sheet,entry and manipulation
Could you duplicate the 'Product Catalog' sheet and rename it 'Catalog_Copy'?,Copy sheet,entry and manipulation
I need to clone the 'Inventory Management' sheet and keep it in the same workbook.,Copy sheet,entry and manipulation
Can you copy the 'Budget Tracker' sheet and insert it before the 'Expense Report'?,Copy sheet,entry and manipulation
Please duplicate the 'Sales Data' sheet and move it to the end of the workbook.,Copy sheet,entry and manipulation
I want to create a copy of the 'Pivot Analysis' sheet and place it in a separate workbook.,Copy sheet,entry and manipulation
Could you replicate the 'Quarterly Review' sheet and append '_Copy' to its name?,Copy sheet,entry and manipulation
"I need to make a backup, so please copy the 'Backup' sheet to a new workbook.",Copy sheet,entry and manipulation
Can you replicate the 'Inventory' sheet and insert it before the 'Sales' sheet?,Copy sheet,entry and manipulation
Please create a copy of the 'Expense Tracker' sheet and append '_Copy' to its name.,Copy sheet,entry and manipulation
I want to clone the 'Sales Forecast' sheet and move it to a different workbook.,Copy sheet,entry and manipulation
Could you duplicate the 'Marketing Plan' sheet and place it after the 'Financials' sheet?,Copy sheet,entry and manipulation
I need to relocate the data from cells A1 to B5 to cells D10 to E,Cut-paste,entry and manipulation
Can you move the values in column C to column F?,Cut-paste,entry and manipulation
Please cut the content of cells A1:A10 and paste it starting from cell C,Cut-paste,entry and manipulation
I want to shift the data from cells B2:D5 to cells E8:G,Cut-paste,entry and manipulation
Could you move the information in rows 6 to 10 to rows 15 to 19?,Cut-paste,entry and manipulation
I need to rearrange the content of column E and paste it into column H.,Cut-paste,entry and manipulation
Can you cut the numbers in cells F1:F10 and paste them into column A?,Cut-paste,entry and manipulation
Please relocate the text from cells C3:E3 to cells F10:H,Cut-paste,entry and manipulation
I want to move the values in cells A1:B5 to cells D8:E,Cut-paste,entry and manipulation
Could you cut the data in rows 4 to 8 and paste it below row 15?,Cut-paste,entry and manipulation
I need to shift the content of cells A1:A10 to cells C15:C,Cut-paste,entry and manipulation
Can you move the information in column F to column B?,Cut-paste,entry and manipulation
Please cut the content of cells D1:D5 and paste it into cells A10:A,Cut-paste,entry and manipulation
I want to relocate the data from cells B2:C6 to cells G10:H,Cut-paste,entry and manipulation
Could you move the values in rows 10 to 15 to rows 3 to 8?,Cut-paste,entry and manipulation
I need to rearrange the content of column H and paste it into column D.,Cut-paste,entry and manipulation
Can you cut the numbers in cells E1:E10 and paste them into column J?,Cut-paste,entry and manipulation
Please relocate the text from cells D3:F3 to cells H5:J,Cut-paste,entry and manipulation
I want to move the values in cells A1:B5 to cells E8:F,Cut-paste,entry and manipulation
Could you cut the data in rows 6 to 10 and paste it below row 18?,Cut-paste,entry and manipulation
I need to shift the content of cells B1:B10 to cells F15:F,Cut-paste,entry and manipulation
Can you move the information in column G to column C?,Cut-paste,entry and manipulation
Please cut the content of cells E1:E5 and paste it into cells A10:A,Cut-paste,entry and manipulation
I want to relocate the data from cells A2:B6 to cells D8:E,Cut-paste,entry and manipulation
Could you move the values in rows 7 to 11 to rows 13 to 17?,Cut-paste,entry and manipulation
I need to rearrange the content of column F and paste it into column H.,Cut-paste,entry and manipulation
Can you cut the numbers in cells D1:D10 and paste them into column A?,Cut-paste,entry and manipulation
Please relocate the text from cells B3:D3 to cells F5:H,Cut-paste,entry and manipulation
